year,   jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    oct,    nov,    dec,     win,     spr,     sum,     aut,     ann
1993,  90.9,   12.2,   24.1,   79.4,   70.5,   64.0,   74.2,   38.2,  110.5,  101.7,   67.0,  134.7,   170.2,   174.0,   176.3,   279.2,   867.4
1994, 103.7,   75.9,   67.4,   61.3,   70.6,   26.5,   35.3,   63.3,   97.5,   89.3,   64.5,  108.9,   314.4,   199.3,   125.1,   251.4,   864.2
1995, 142.1,   93.1,   56.5,   23.3,   39.2,   17.7,   31.5,    8.2,  115.5,   42.1,   72.3,   89.6,   344.1,   119.1,    57.4,   229.9,   731.2
1996,  62.0,   68.3,   41.5,   38.5,   46.4,   22.3,   34.8,   75.2,   24.9,   66.0,  116.4,   36.9,   220.0,   126.3,   132.4,   207.3,   633.3
1997,  14.8,   84.5,   19.3,   19.7,   61.6,  119.9,   35.1,   96.6,   20.0,   67.1,  109.3,   88.6,   136.3,   100.6,   251.6,   196.4,   736.5
1998,  99.5,   11.8,   73.7,  119.2,   24.1,  110.1,   42.5,   33.6,   95.6,  134.8,   68.7,   85.7,   199.9,   217.0,   186.2,   299.1,   899.3
1999, 113.1,   40.1,   52.1,   67.1,   45.6,   79.2,   18.8,  109.1,  111.5,   69.6,   49.3,  130.0,   238.9,   164.7,   207.1,   230.4,   885.5
2000,  28.3,   83.5,   23.9,  134.8,   88.3,   25.0,   57.8,   54.4,  107.4,  163.0,  148.0,  123.9,   241.8,   247.0,   137.2,   418.3,  1038.3
2001,  77.7,   84.6,  104.9,   87.2,   41.1,   32.8,   74.3,   71.7,   64.3,  118.6,   51.8,   29.7,   286.3,   233.2,   178.9,   234.8,   838.8
2002,  79.6,   99.6,   45.8,   44.3,   85.6,   45.8,   76.6,   49.1,   32.1,  116.0,  150.8,  122.6,   208.9,   175.8,   171.5,   299.0,   948.0
2003,  79.2,   33.9,   27.3,   37.7,   54.2,   57.7,   67.8,   14.8,   19.6,   53.7,   98.4,   84.9,   235.7,   119.2,   140.2,   171.7,   629.0
2004, 103.8,   39.9,   46.4,   75.1,   46.1,   43.0,   61.4,  122.2,   43.1,  126.3,   42.5,   51.8,   228.6,   167.5,   226.5,   211.9,   801.4
2005,  42.1,   36.2,   47.6,   56.2,   40.2,   53.0,   60.1,   50.9,   54.4,   99.6,   65.4,   62.8,   130.1,   144.0,   164.0,   219.4,   668.4
2006,  22.6,   49.2,   63.6,   35.9,   97.2,   22.3,   42.8,   73.5,   66.3,  102.7,   95.3,   93.7,   134.6,   196.7,   138.6,   264.4,   765.2
2007,  82.2,  100.3,   57.8,    6.1,  119.5,  123.6,  120.9,   53.2,   34.9,   47.2,   67.0,   74.4,   276.2,   183.4,   297.8,   149.1,   887.3
2008, 103.1,   30.5,   91.3,   57.4,   79.6,   44.5,   90.6,   94.5,   82.2,   76.4,   86.1,   48.3,   208.1,   228.3,   229.6,   244.7,   884.5
2009,  79.9,   59.3,   38.2,   40.4,   43.3,   52.0,  115.2,   45.4,   23.9,   63.0,  152.9,   91.8,   187.5,   122.0,   212.7,   239.8,   805.5
2010,  66.9,   77.6,   51.5,   23.9,   32.3,   34.0,   42.0,  109.7,   62.1,   68.9,   71.3,   33.1,   236.3,   107.7,   185.7,   202.3,   673.4
2011,  79.4,   57.9,   13.9,    6.5,   33.8,   71.6,   50.5,   64.8,   42.1,   46.7,   45.5,   89.8,   170.4,    54.2,   187.0,   134.2,   602.5
2012,  54.4,   23.0,   26.8,  137.0,   46.5,  138.0,  111.9,   77.9,   65.6,  107.8,  114.9,  142.6,   167.2,   210.3,   327.8,   288.3,  1046.4
2013,  78.5,   40.7,   69.7,   30.3,   64.8,   29.4,   42.8,   50.2,   50.4,  136.9,   66.1,  119.8,   261.8,   164.8,   122.4,   253.3,   779.6
2014, 167.7,  125.8,   40.7,   55.7,   90.2,   46.4,   46.8,  102.0,   13.4,   98.8,  112.0,   59.7,   413.3,   186.6,   195.2,   224.1,   959.1
2015,  86.0,   53.2,   35.5,   20.2,   66.0,   32.2,   73.0,   96.7,   55.0,   55.4,   86.8,   89.6,   199.0,   121.7,   202.0,   197.3,   749.9
2016, 113.2,   63.7,   79.8,   54.1,   56.0,   96.0,   23.8,   47.0,   59.0,   32.1,   95.5,   26.3,   266.6,   189.9,   166.9,   186.5,   746.6
2017,  67.6,   51.8,   55.5,   16.0,   62.1,   61.4,   87.6,   66.7,   79.1,   34.1,   54.3,  105.4,   145.7,   133.7,   215.7,   167.4,   741.6
2018,  82.2,   41.6,  109.2,   75.6,   51.1,    6.8,   30.0,   63.4,   44.5,   58.8,   91.5,   96.8,   229.1,   235.8,   100.2,   194.9,   751.5
2019,  36.3,   45.5,   68.4,   33.8,   36.2,  104.0,   52.1,   64.7,   97.9,  127.2,  114.7,  112.1,   178.6,   138.4,   220.8,   339.8,   893.0
2020,  72.8,  136.6,   47.3,   36.7,    5.5,   79.2,   49.1,  103.7,   40.8,  145.9,   57.3,  138.0,   321.5,    89.5,   232.0,   243.9,   912.8
2021, 114.4,   62.0,   37.5,   10.3,  110.4,   62.2,   77.0,   41.9,   57.9,  122.3,   25.7,   84.7,   314.3,   158.1,   181.1,   206.0,   806.1
2022,  28.3,   78.1,   43.5,   19.3,   47.8,   44.0,   10.7,   31.7,   71.4,   94.3,  151.5,   89.3,   191.1,   110.6,    86.4,   317.2,   709.9
2023,  85.7,    9.3,  127.2,   69.1,   43.4,   35.8,  103.4,   65.2,   70.5,  146.9,  107.4,  129.1,   184.3,   239.7,   204.4,   324.8,   992.9
2024,  70.9,  142.9,   95.6,   73.8,   78.2,   24.8,   77.5,   34.1,  144.4,   88.7,   84.0,   61.5,   342.9,   247.6,   136.4,   317.1,   976.5
2025,  98.2,   56.8,    8.8,   35.2,       ,       ,       ,       ,       ,       ,       ,       ,   216.6,        ,        ,        ,        
