year,   jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    oct,    nov,    dec,     win,     spr,     sum,     aut,     ann
1871,  54.3,   45.6,   36.2,   90.5,   24.2,   75.1,  102.8,   33.3,  130.8,   60.7,   28.4,   49.4,   170.9,   150.9,   211.2,   219.9,   731.4
1872, 128.0,   67.5,   67.7,   61.2,   62.3,   89.1,  100.1,   65.3,   60.2,  121.0,  119.7,  121.8,   244.9,   191.2,   254.5,   300.9,  1063.9
1873,  90.9,   48.3,   67.3,   22.6,   49.5,   57.5,   64.1,   78.7,   59.8,   70.5,   63.6,   17.6,   261.1,   139.4,   200.2,   193.9,   690.3
1874,  61.8,   53.8,   24.8,   44.0,   28.9,   37.6,   34.3,   63.0,   99.1,   91.5,   70.9,   75.7,   133.1,    97.8,   134.9,   261.6,   685.4
1875, 101.6,   41.6,   24.1,   36.9,   53.7,   79.8,  137.9,   49.9,   78.0,  145.5,  123.5,   36.6,   218.9,   114.7,   267.5,   347.0,   909.0
1876,  43.1,   78.7,   85.7,   75.0,   17.7,   46.1,   30.9,   72.1,  129.4,   54.9,   96.5,  168.5,   158.4,   178.4,   149.1,   280.8,   898.6
1877, 129.3,   54.9,   62.2,   80.8,   66.6,   33.4,   89.8,  101.6,   54.5,   58.6,  126.0,   57.5,   352.8,   209.6,   224.8,   239.1,   915.2
1878,  46.0,   43.1,   33.8,   67.7,  120.4,   63.4,   35.2,  133.0,   51.6,   88.3,  100.7,   55.2,   146.6,   221.9,   231.7,   240.6,   838.5
1879,  74.8,   95.2,   23.3,   71.4,   73.7,  130.3,  101.8,  134.1,   86.5,   30.1,   24.6,   26.7,   225.2,   168.3,   366.2,   141.3,   872.6
1880,  13.6,   80.1,   35.3,   52.0,   26.8,   72.9,  131.5,   31.1,  103.4,  149.0,   72.4,   93.4,   120.5,   114.1,   235.5,   324.8,   861.4
1881,  37.7,   88.8,   59.7,   24.4,   32.5,   64.0,   53.4,  125.4,   57.6,   69.9,   89.8,   87.4,   219.9,   116.7,   242.8,   217.2,   790.6
1882,  49.5,   51.0,   38.9,   97.2,   47.4,   89.9,   91.8,   61.9,   76.9,  156.7,  104.3,   99.2,   187.9,   183.5,   243.6,   337.9,   964.6
1883,  76.6,  102.6,   30.8,   37.1,   46.5,   74.9,   80.6,   30.3,  118.5,   72.7,  102.7,   32.4,   278.4,   114.4,   185.8,   293.9,   805.7
1884,  76.5,   53.6,   55.5,   41.8,   25.9,   50.1,   74.5,   42.2,   57.3,   38.9,   43.1,   80.8,   162.5,   123.2,   166.9,   139.3,   640.3
1885,  59.2,   83.6,   35.8,   56.5,   72.7,   51.8,   13.2,   46.7,  115.2,  125.0,   93.0,   33.2,   223.7,   165.0,   111.7,   333.2,   785.9
1886,  98.5,   18.9,   60.3,   50.5,  106.4,   24.7,   79.0,   44.0,   52.9,  110.5,   80.1,  121.9,   150.7,   217.1,   147.7,   243.6,   847.8
1887,  63.9,   17.8,   41.3,   33.3,   46.9,   23.9,   27.8,   46.6,   70.3,   60.5,   80.7,   53.3,   203.7,   121.5,    98.3,   211.6,   566.4
1888,  27.9,   35.1,   85.7,   46.5,   32.5,   65.6,  136.3,   66.7,   31.8,   34.1,  131.5,   60.6,   116.3,   164.6,   268.6,   197.4,   754.3
1889,  26.9,   53.3,   66.0,   70.5,   81.1,   29.1,   73.2,   74.2,   50.2,  105.0,   35.3,   47.9,   140.9,   217.6,   176.6,   190.6,   712.9
1890,  83.5,   23.8,   46.7,   45.4,   52.9,   64.9,   88.6,   72.9,   28.7,   40.1,   78.7,   31.3,   155.2,   145.0,   226.4,   147.5,   657.5
1891,  60.0,    2.0,   49.4,   33.5,   79.6,   50.9,   73.6,  128.3,   42.3,  166.3,   75.0,  102.5,    93.3,   162.5,   252.8,   283.6,   863.5
1892,  35.4,   47.7,   26.5,   30.2,   37.2,   63.9,   60.8,   83.0,   70.2,  114.6,   60.4,   40.9,   185.6,    93.9,   207.7,   245.2,   670.9
1893,  53.7,   90.9,   10.5,    5.1,   35.7,   27.7,   91.1,   44.7,   42.9,   82.6,   60.3,   75.1,   185.5,    51.2,   163.6,   185.9,   620.4
1894,  70.4,   55.4,   39.3,   52.1,   56.1,   58.3,   97.7,   70.4,   53.8,   95.6,  117.8,   63.5,   200.9,   147.5,   226.4,   267.2,   830.5
1895,  85.7,    6.2,   56.2,   50.1,   15.0,   25.4,   90.0,   73.7,   20.8,   87.3,  118.7,   72.7,   155.4,   121.3,   189.1,   226.7,   701.8
1896,  26.1,   14.4,   81.6,   21.9,    8.4,   59.0,   36.2,   57.1,  143.9,   89.5,   30.6,  113.2,   113.1,   111.9,   152.4,   263.9,   681.8
1897,  57.8,   79.4,   93.5,   59.9,   33.2,   65.1,   26.7,   97.0,   78.6,   29.2,   39.7,   95.5,   250.3,   186.6,   188.9,   147.5,   755.6
1898,  22.5,   38.3,   32.1,   42.8,   87.1,   45.6,   22.0,   57.6,   20.9,   98.9,   74.7,   75.7,   156.3,   162.0,   125.3,   194.6,   618.4
1899,  94.4,   67.8,   23.1,   69.3,   52.8,   36.8,   37.4,   32.3,   74.4,   68.8,   78.1,   58.5,   237.9,   145.2,   106.6,   221.2,   693.6
1900,  97.4,  119.7,   28.5,   32.3,   42.4,   70.9,   38.4,   82.5,   21.8,   69.6,   76.1,  111.1,   275.6,   103.2,   191.8,   167.5,   790.7
1901,  40.8,   34.7,   60.5,   64.4,   29.8,   46.1,   60.7,   49.5,   47.4,   56.6,   28.3,  121.2,   186.6,   154.7,   156.3,   132.3,   640.0
1902,  30.9,   35.7,   45.3,   39.3,   64.6,   75.1,   42.4,   88.6,   41.3,   59.7,   69.7,   51.4,   187.9,   149.3,   206.1,   170.7,   644.1
1903,  72.1,   36.8,   90.3,   54.0,   79.0,   85.4,   91.7,  104.8,   78.3,  176.9,   55.1,   62.5,   160.3,   223.3,   281.9,   310.4,   986.9
1904,  87.4,  100.6,   42.5,   31.9,   63.6,   25.2,   73.3,   64.1,   49.9,   38.3,   43.7,   64.3,   250.4,   138.0,   162.6,   131.9,   684.8
1905,  28.6,   24.1,   94.5,   55.9,   20.0,   87.8,   25.5,   93.3,   47.7,   47.6,   89.3,   25.3,   117.0,   170.3,   206.6,   184.7,   639.5
1906, 119.9,   67.4,   41.9,   24.2,   57.2,   63.9,   23.1,   38.0,   29.9,  123.0,   99.2,   61.6,   212.5,   123.3,   125.0,   252.2,   749.3
1907,  31.6,   37.1,   26.4,   83.4,   72.9,   63.3,   56.0,   56.5,   18.9,  139.5,   68.4,   96.3,   130.4,   182.7,   175.8,   226.8,   750.3
1908,  34.8,   39.4,   76.8,   71.1,   47.5,   31.0,   68.7,   85.7,   53.5,   46.6,   33.6,   67.0,   170.5,   195.3,   185.3,   133.8,   655.6
1909,  31.2,   15.0,   91.7,   48.6,   35.5,   87.5,   77.8,   60.7,   68.8,  132.0,   24.9,  112.4,   113.2,   175.8,   226.0,   225.7,   786.2
1910,  71.2,   91.0,   23.5,   56.7,   61.6,   67.0,   68.2,   87.5,   16.1,   88.6,  108.2,  134.3,   274.6,   141.7,   222.7,   212.9,   873.8
1911,  32.6,   43.5,   56.2,   37.3,   34.9,   59.9,   10.8,   38.1,   42.9,   80.4,   96.5,  160.9,   210.4,   128.4,   108.8,   219.7,   693.8
1912,  96.9,   56.3,  105.3,    4.9,   47.3,  104.0,   78.0,  180.5,   45.2,   85.2,   58.4,  100.0,   314.1,   157.5,   362.5,   188.9,   962.1
1913, 110.0,   27.3,   87.5,   83.3,   59.0,   25.7,   33.9,   34.8,   57.8,  101.3,   80.6,   40.3,   237.3,   229.7,    94.4,   239.8,   741.4
1914,  29.4,   75.7,  112.2,   31.4,   37.2,   49.8,   80.6,   51.5,   36.2,   62.3,   91.2,  178.5,   145.4,   180.8,   181.9,   189.8,   836.1
1915,  89.7,  111.8,   27.4,   29.2,   68.8,   31.9,  117.4,   61.9,   42.8,   77.9,   69.4,  157.4,   380.1,   125.4,   211.1,   190.1,   885.6
1916,  38.7,  121.5,  100.4,   32.6,   56.0,   56.7,   38.7,   91.7,   42.4,  112.0,  103.9,   85.7,   317.7,   189.0,   187.1,   258.3,   880.3
1917,  43.1,   26.6,   60.4,   45.9,   55.1,   67.3,   72.9,  143.3,   47.6,  110.2,   38.2,   31.5,   155.4,   161.3,   283.5,   196.0,   742.0
1918,  80.4,   38.9,   30.0,   66.7,   46.7,   25.6,  104.3,   46.7,  151.5,   50.0,   62.2,   87.1,   150.8,   143.3,   176.6,   263.8,   790.1
1919, 108.4,   77.6,  106.4,   62.2,   19.6,   28.1,   62.3,   70.5,   43.5,   44.7,   58.2,  124.6,   273.0,   188.2,   160.9,   146.4,   806.0
1920,  91.8,   24.6,   61.2,  104.6,   46.4,   57.8,  114.4,   37.9,   60.1,   60.4,   35.3,   76.3,   240.9,   212.2,   210.1,   155.8,   770.7
1921,  73.5,    9.3,   40.0,   29.5,   40.9,    9.4,   14.3,   59.2,   34.8,   36.5,   57.2,   49.3,   159.1,   110.4,    82.9,   128.4,   453.8
1922,  96.7,   74.3,   61.6,   80.0,   26.8,   30.2,  105.9,   87.7,   63.9,   28.8,   42.1,   98.6,   220.4,   168.3,   223.8,   134.8,   796.6
1923,  45.9,  131.9,   48.4,   60.2,   50.6,   14.4,   57.8,   64.0,   63.9,  126.2,   59.1,   82.3,   276.4,   159.2,   136.3,   249.2,   804.8
1924,  83.0,   21.0,   31.9,   76.3,  110.8,   60.1,   96.6,   80.0,   96.5,  120.0,   72.7,  101.8,   186.3,   218.9,   236.8,   289.2,   950.8
1925,  66.9,   96.7,   22.3,   58.9,   86.3,    4.1,   77.9,   72.6,   86.0,   89.3,   64.3,   82.2,   265.4,   167.5,   154.7,   239.6,   807.5
1926,  97.3,   62.2,   14.4,   72.1,   59.0,   67.6,   53.9,   46.3,   33.5,   72.7,  151.0,   16.5,   241.7,   145.5,   167.8,   257.3,   746.5
1927,  76.3,   83.2,   76.1,   49.0,   26.4,   89.8,   83.3,  100.3,  129.4,   57.0,   84.7,   82.5,   176.0,   151.5,   273.4,   271.1,   938.2
1928, 120.1,   56.2,   65.2,   40.2,   37.1,   67.8,   49.8,   62.1,   27.7,  125.2,   86.4,   78.8,   258.8,   142.6,   179.7,   239.4,   816.7
1929,  39.8,   24.8,    4.8,   26.8,   52.3,   40.0,   49.4,   50.0,   16.5,  108.6,  183.9,  161.2,   143.4,    83.9,   139.4,   309.0,   758.1
1930, 103.5,   24.8,   51.1,   64.4,   61.9,   25.6,   83.2,   83.6,  103.8,   62.5,  113.5,   81.6,   289.5,   177.4,   192.4,   279.8,   859.4
1931,  58.0,   63.8,   17.9,   84.1,   82.3,   67.0,   99.2,  108.6,   59.0,   19.8,  104.5,   31.4,   203.3,   184.3,   274.7,   183.3,   795.5
1932,  66.7,    6.9,   47.6,   74.3,  118.3,   31.9,   83.7,   45.7,   80.1,  139.6,   48.4,   32.4,   105.0,   240.2,   161.3,   268.0,   775.7
1933,  52.7,   77.4,   72.5,   31.6,   48.3,   52.5,   49.9,   25.4,   59.9,   76.4,   33.1,   20.2,   162.5,   152.5,   127.8,   169.4,   600.0
1934,  62.6,    8.4,   61.1,   61.5,   27.4,   34.2,   35.3,   66.0,   55.2,   52.7,   53.8,  168.8,    91.2,   150.0,   135.6,   161.7,   687.0
1935,  31.8,   76.3,   19.1,   95.2,   34.1,   86.4,   17.9,   55.8,  107.9,  101.9,  138.9,   92.4,   276.9,   148.3,   160.0,   348.7,   857.6
1936, 109.1,   66.7,   53.9,   49.9,   21.4,   83.0,  133.3,   18.2,   76.9,   46.1,   87.7,   72.7,   268.3,   125.2,   234.6,   210.6,   818.9
1937, 121.3,  120.0,   92.8,   71.5,   71.8,   36.7,   56.7,   32.1,   58.8,   77.1,   47.3,   85.4,   314.0,   236.1,   125.5,   183.1,   871.4
1938,  89.9,   23.4,    9.4,    5.3,   55.4,   31.0,   63.4,   76.0,   54.8,   88.7,   99.5,   95.0,   198.7,    70.0,   170.5,   243.1,   691.9
1939, 141.1,   36.1,   43.2,   65.8,   30.2,   51.4,  106.7,   71.6,   27.4,  123.8,  139.4,   49.7,   272.1,   139.1,   229.7,   290.7,   886.3
1940,  64.6,   70.4,   67.2,   54.0,   39.2,   18.5,   85.2,    6.1,   34.5,   90.3,  184.6,   56.7,   184.7,   160.5,   109.7,   309.4,   771.3
1941,  82.7,   76.4,   81.5,   36.7,   55.5,   40.5,   71.8,  111.1,   15.9,   51.9,   72.4,   47.6,   215.9,   173.7,   223.4,   140.2,   744.1
1942,  85.2,   19.6,   58.1,   35.0,   95.1,   13.3,   58.7,   74.7,   51.0,   84.9,   46.9,   89.7,   152.4,   188.2,   146.7,   182.8,   712.1
1943, 137.2,   35.2,   21.0,   26.5,   69.3,   47.5,   46.1,   56.0,   63.6,   71.0,   53.5,   47.2,   262.1,   116.9,   149.7,   188.1,   674.3
1944,  59.0,   29.0,    8.1,   46.7,   23.5,   53.4,   62.0,   65.4,   75.9,  104.7,  128.4,   56.2,   135.2,    78.3,   180.8,   309.1,   712.4
1945,  56.3,   57.5,   27.8,   30.1,   68.9,   68.5,   61.6,   59.3,   54.4,   87.8,   16.7,  100.3,   170.0,   126.8,   189.4,   158.9,   689.3
1946,  66.4,   71.3,   32.7,   47.6,   78.4,   76.5,   58.0,  123.0,  103.4,   37.6,  136.0,   80.7,   238.1,   158.7,   257.5,   277.0,   911.7
1947,  63.5,   42.3,  152.1,   57.3,   45.0,   55.6,   58.2,   13.8,   36.8,   15.8,   49.1,   70.4,   186.6,   254.3,   127.6,   101.8,   659.9
1948, 135.1,   34.4,   27.5,   46.5,   75.2,   67.0,   38.1,   99.0,   58.5,   72.2,   45.8,  100.6,   239.9,   149.3,   204.1,   176.4,   799.9
1949,  31.6,   31.4,   35.4,   48.6,   62.0,   16.3,   43.2,   40.3,   50.4,  154.6,   86.5,   47.6,   163.6,   146.0,    99.9,   291.5,   648.0
1950,  25.3,  124.4,   31.4,   59.2,   51.5,   41.1,   97.5,   94.4,   98.9,   25.9,  138.1,   57.5,   197.2,   142.1,   233.0,   263.0,   845.2
1951,  82.5,  111.4,  100.4,   72.2,   71.4,   30.2,   40.3,  114.7,   75.2,   28.4,  153.8,   65.9,   251.4,   244.1,   185.3,   257.5,   946.6
1952,  67.4,   20.8,   73.8,   51.3,   63.2,   42.5,   22.2,   97.2,   75.4,   95.5,   93.9,   73.8,   154.0,   188.3,   161.9,   264.8,   776.9
1953,  25.4,   41.8,   20.9,   63.6,   53.8,   58.9,   82.8,   64.6,   67.7,   71.8,   45.6,   24.4,   141.0,   138.3,   206.2,   185.1,   621.3
1954,  42.5,   71.8,   72.6,   10.6,   64.5,   84.4,   77.4,   97.6,   69.2,   76.6,  145.7,   68.5,   138.7,   147.8,   259.4,   291.5,   881.4
1955,  79.7,   55.8,   44.6,   22.1,  100.8,   74.3,   21.8,   23.1,   44.2,   71.3,   57.4,   85.6,   204.0,   167.5,   119.3,   172.8,   680.8
1956, 105.3,   15.5,   24.9,   34.5,   16.5,   60.7,   83.0,  108.9,   83.8,   48.0,   25.8,   95.4,   206.4,    75.9,   252.5,   157.5,   702.1
1957,  55.4,   90.6,   57.7,    6.8,   40.0,   46.7,   92.1,   81.2,  101.6,   53.8,   59.7,   64.3,   241.4,   104.5,   219.9,   215.1,   749.8
1958,  79.0,   90.3,   38.4,   24.4,   67.4,  105.0,   78.5,   90.9,  107.4,   74.1,   57.9,   91.4,   233.6,   130.2,   274.4,   239.4,   904.8
1959,  96.8,    5.3,   69.8,   68.7,   24.4,   31.4,   54.5,   42.3,    3.8,   73.1,   99.5,  149.0,   193.5,   162.9,   128.2,   176.5,   718.6
1960,  98.9,   66.6,   47.4,   35.2,   38.4,   54.3,   95.6,   99.8,  112.2,  175.2,  120.6,  100.6,   314.4,   120.9,   249.7,   408.1,  1044.8
1961,  97.7,   63.1,    6.2,   89.8,   27.9,   30.1,   49.7,   58.8,   68.1,   95.6,   51.9,   94.7,   261.4,   123.8,   138.7,   215.7,   733.7
1962,  95.6,   20.7,   40.7,   54.9,   54.4,    8.7,   55.4,   89.3,   86.5,   33.0,   66.3,   62.7,   211.1,   150.0,   153.4,   185.8,   668.3
1963,  24.0,   29.7,   94.7,   73.3,   44.3,   66.0,   48.4,   88.2,   57.0,   49.2,  138.2,   24.4,   116.4,   212.3,   202.6,   244.4,   737.4
1964,  20.6,   30.5,   87.7,   62.8,   54.3,   77.1,   36.0,   35.2,   23.7,   53.1,   50.6,   70.9,    75.5,   204.8,   148.2,   127.5,   602.5
1965,  82.2,   12.1,   68.2,   49.3,   51.4,   62.5,   97.6,   63.2,  114.4,   19.1,   91.4,  142.2,   165.2,   168.9,   223.4,   225.0,   853.7
1966,  50.3,  104.6,   24.9,   97.9,   59.2,   69.7,   72.0,   91.5,   35.4,  123.3,   66.5,   92.8,   297.0,   182.1,   233.2,   225.1,   888.1
1967,  56.5,   76.6,   49.6,   44.9,  119.3,   33.3,   42.8,   53.6,   83.6,  140.3,   58.0,   67.7,   226.0,   213.8,   129.6,   281.9,   826.3
1968,  65.9,   42.3,   32.9,   61.9,   65.3,   83.2,   95.1,   68.5,  127.4,   73.2,   56.6,   76.8,   175.9,   160.1,   246.8,   257.2,   849.2
1969,  84.9,   59.4,   66.4,   40.8,  108.2,   39.3,   73.5,   70.1,   27.0,    9.6,  105.5,   76.7,   221.2,   215.5,   182.9,   142.1,   761.4
1970, 102.6,   72.6,   54.3,   67.8,   25.5,   38.0,   57.4,   72.1,   59.1,   30.9,  163.5,   43.7,   251.9,   147.6,   167.5,   253.5,   787.5
1971, 112.6,   23.7,   59.5,   46.4,   42.8,  104.9,   33.0,   87.3,   19.7,   63.9,   80.9,   35.5,   180.0,   148.7,   225.2,   164.5,   710.3
1972,  89.3,   71.5,   65.8,   56.9,   61.7,   58.4,   45.8,   29.8,   40.0,   32.0,   81.2,  103.7,   196.3,   184.4,   134.0,   153.2,   736.1
1973,  36.5,   32.4,   18.0,   57.1,   75.1,   65.9,   69.4,   44.2,   71.7,   44.0,   42.2,   51.9,   172.6,   150.1,   179.6,   157.8,   608.3
1974, 105.5,  100.6,   36.4,   12.5,   36.6,   63.4,   52.8,   94.9,  137.5,   81.9,  119.7,   53.8,   258.0,    85.5,   211.2,   339.1,   895.7
1975, 103.4,   27.3,   84.2,   57.9,   43.8,   15.3,   49.1,   40.5,   99.3,   26.4,   66.6,   36.7,   184.5,   186.0,   104.9,   192.3,   650.5
1976,  33.2,   34.2,   36.5,   11.9,   37.9,   15.8,   26.7,   31.8,  132.4,  136.5,   85.4,   90.0,   104.0,    86.3,    74.3,   354.3,   672.4
1977,  87.3,  121.4,   67.0,   38.1,   48.0,   75.2,   18.9,  107.1,   24.5,   46.1,   77.8,   85.4,   298.8,   153.1,   201.2,   148.3,   796.7
1978,  96.8,   73.5,   70.8,   49.1,   44.7,   55.5,   80.0,   47.2,   30.8,    8.5,   34.9,  147.4,   255.7,   164.6,   182.7,    74.1,   739.2
1979,  76.3,   64.5,  109.9,   60.5,  104.9,   35.4,   29.5,   74.4,   26.1,   63.8,   60.7,  134.9,   288.2,   275.4,   139.3,   150.6,   841.1
1980,  58.6,   74.8,   88.0,   20.8,   27.7,  105.2,   66.5,   67.5,   57.9,  105.4,   62.4,   56.1,   268.4,   136.4,   239.2,   225.7,   790.9
1981,  43.5,   41.3,  126.2,   53.6,   89.8,   38.7,   47.9,   36.0,  124.3,   96.5,   44.5,   97.6,   141.0,   269.5,   122.6,   265.4,   840.0
1982,  55.2,   41.2,   88.8,   21.2,   42.3,  107.4,   35.3,   65.7,   67.2,  119.4,  104.8,   85.6,   194.0,   152.3,   208.4,   291.4,   834.0
1983,  77.7,   32.7,   45.9,  101.6,  105.8,   28.8,   34.1,   21.2,   82.5,   59.6,   46.3,   81.8,   195.9,   253.3,    84.1,   188.4,   718.0
1984, 125.7,   48.1,   57.5,    7.6,   70.8,   36.5,   25.7,   48.8,   95.4,   80.7,  121.6,   71.9,   255.6,   135.9,   111.0,   297.7,   790.4
1985,  65.1,   31.9,   56.3,   53.5,   60.3,   99.0,   54.8,   89.7,   23.4,   36.3,   60.8,  113.7,   168.9,   170.0,   243.4,   120.5,   744.6
1986, 105.5,   13.8,   65.1,   70.4,   71.4,   36.3,   49.5,  106.8,   28.1,   79.8,  105.4,  104.7,   233.1,   206.9,   192.6,   213.3,   836.8
1987,  20.6,   48.6,   68.7,   59.7,   44.3,   94.5,   63.0,   56.5,   46.2,  159.8,   71.0,   41.8,   173.8,   172.7,   214.1,   277.0,   774.6
1988, 142.2,   51.8,   86.1,   36.6,   51.6,   38.7,  105.9,   63.5,   45.7,   77.1,   36.1,   26.6,   235.8,   174.3,   208.0,   158.9,   761.9
1989,  37.7,   70.3,   71.3,   81.4,   16.1,   44.5,   38.1,   42.8,   44.4,   78.1,   51.4,  138.8,   134.5,   168.7,   125.5,   174.0,   715.0
1990, 104.1,  126.3,   15.0,   37.5,   14.2,   58.5,   26.6,   37.0,   41.9,   80.0,   57.5,   71.9,   369.2,    66.7,   122.1,   179.4,   670.5
1991,  85.0,   44.0,   60.8,   64.2,   12.3,   96.0,   71.6,   20.6,   61.1,   55.2,   71.3,   27.2,   200.9,   137.3,   188.2,   187.6,   669.4
1992,  41.9,   31.5,   61.0,   64.3,   45.7,   37.8,   81.6,  114.9,   83.1,   74.7,  126.3,   67.1,   100.7,   171.0,   234.3,   284.2,   830.0
