year,   jan,    feb,    mar,    apr,    may,    jun,   jul,   aug,   sep,   oct,   nov,   dec,    win,    spr,    sum,    aut,    ann
1847,  46.2,   41.5,   27.3,   31.2,   45.4,   44.4,  24.2,  37.2,  44.8,  76.4,  55.3,  91.2,  122.7,  103.9,  105.8,  176.5,  565.0
1848,  47.3,   95.4,   83.1,   96.7,   14.8,  104.0,  70.7, 112.5,  79.3, 132.8,  48.2,  91.0,  233.9,  194.6,  287.3,  260.3,  975.9
1849,  54.1,   54.6,   22.7,   83.8,   76.7,   22.4,  63.0,  25.3,  88.4,  95.9,  39.7,  77.3,  199.7,  183.2,  110.7,  224.0,  703.9
1850,  33.1,   43.8,    8.2,   84.9,   68.9,   42.5,  85.1,  57.2,  54.0,  46.1,  72.4,  55.2,  154.1,  162.0,  184.8,  172.5,  651.3
1851,  97.5,   27.9,   99.6,   47.7,   24.6,   38.8,  83.7,  48.9,   8.4,  83.9,  23.3,  27.1,  180.6,  171.8,  171.4,  115.6,  611.3
1852, 126.0,   32.4,   10.9,   15.8,   58.1,  138.0,  57.8, 121.6, 119.0, 136.7, 182.6,  93.5,  185.5,   84.8,  317.4,  438.3, 1092.4
1853,  93.8,   30.9,   36.7,   76.8,   51.8,   64.5, 106.6,  81.4,  60.7, 138.1,  37.6,  14.6,  218.2,  165.2,  252.5,  236.5,  793.5
1854,  59.1,   24.9,    9.4,    9.6,   89.2,   49.1,  46.5,  46.8,  25.9,  89.0,  50.3,  42.3,   98.6,  108.2,  142.4,  165.3,  542.2
1855,  13.4,   36.8,   56.9,   10.8,   57.0,   42.9, 111.0,  36.8,  47.0, 149.7,  40.5,  43.4,   92.5,  124.7,  190.7,  237.1,  646.2
1856,  69.6,   34.6,   29.0,   92.4,   93.0,   38.7,  37.5,  73.1,  90.0,  66.2,  30.8,  74.5,  147.7,  214.4,  149.4,  187.1,  729.6
1857,  75.0,   12.9,   42.5,   50.5,   31.4,   52.7,  45.0,  70.8,  96.6, 133.2,  50.9,  19.3,  162.4,  124.4,  168.5,  280.7,  680.8
1858,  24.7,   32.1,   26.8,   67.6,   54.0,   18.4,  66.9,  52.3,  41.6,  51.4,  32.1,  69.7,   76.1,  148.3,  137.7,  125.1,  537.5
1859,  42.1,   50.5,   44.2,   66.7,   47.1,   56.0,  64.1,  59.6, 100.5, 100.5,  95.5,  91.9,  162.3,  158.0,  179.8,  296.5,  818.8
1860,  91.7,   31.8,   58.9,   45.0,   84.0,  145.6,  61.5, 115.5,  91.9,  55.4,  75.2,  82.5,  215.4,  187.9,  322.6,  222.5,  939.1
1861,  16.8,   51.2,   66.9,   18.5,   39.2,   69.6,  82.9,  23.5,  72.3,  37.9, 132.4,  43.3,  150.5,  124.5,  176.0,  242.7,  654.5
1862,  60.5,   16.2,  112.0,   55.7,   88.2,   58.9,  47.3,  55.4,  50.5, 130.4,  26.8,  57.0,  120.0,  255.9,  161.6,  207.7,  758.9
1863,  88.8,   23.3,   22.5,   21.1,   45.5,  102.9,  20.6,  65.2,  94.5,  86.0,  51.8,  51.7,  169.1,   89.0,  188.6,  232.3,  673.8
1864,  33.2,   33.2,   79.3,   36.3,   44.0,   34.2,  12.8,  30.9,  72.0,  43.7,  94.2,  33.3,  118.1,  159.6,   77.9,  209.9,  547.1
