time,step,number,surface,latitude,longitude,valid_time,tp,actual_latitude,actual_longitude,target_latitude,target_longitude
2022-01-01 18:00:00,0 days 06:00:00,0,0.0,51.6,-0.2,2022-01-02 00:00:00,5.7779253e-05,51.6,-0.2,51.5074,-0.1278
2022-01-02 06:00:00,0 days 12:00:00,0,0.0,51.6,-0.2,2022-01-02 18:00:00,7.3730946e-05,51.6,-0.2,51.5074,-0.1278
2022-01-02 06:00:00,0 days 11:00:00,0,0.0,51.6,-0.2,2022-01-02 17:00:00,0.0005174875,51.6,-0.2,51.5074,-0.1278
2022-01-02 06:00:00,0 days 10:00:00,0,0.0,51.6,-0.2,2022-01-02 16:00:00,0.00025064498,51.6,-0.2,51.5074,-0.1278
2022-01-02 06:00:00,0 days 09:00:00,0,0.0,51.6,-0.2,2022-01-02 15:00:00,0.00018203259,51.6,-0.2,51.5074,-0.1278
2022-01-02 06:00:00,0 days 08:00:00,0,0.0,51.6,-0.2,2022-01-02 14:00:00,5.1900744e-05,51.6,-0.2,51.5074,-0.1278
2022-01-02 06:00:00,0 days 07:00:00,0,0.0,51.6,-0.2,2022-01-02 13:00:00,4.5746565e-06,51.6,-0.2,51.5074,-0.1278
2022-01-02 06:00:00,0 days 05:00:00,0,0.0,51.6,-0.2,2022-01-02 11:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-02 06:00:00,0 days 04:00:00,0,0.0,51.6,-0.2,2022-01-02 10:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-02 06:00:00,0 days 03:00:00,0,0.0,51.6,-0.2,2022-01-02 09:00:00,5.662441e-07,51.6,-0.2,51.5074,-0.1278
2022-01-02 06:00:00,0 days 02:00:00,0,0.0,51.6,-0.2,2022-01-02 08:00:00,0.00012163818,51.6,-0.2,51.5074,-0.1278
2022-01-02 06:00:00,0 days 01:00:00,0,0.0,51.6,-0.2,2022-01-02 07:00:00,0.00074613094,51.6,-0.2,51.5074,-0.1278
2022-01-02 06:00:00,0 days 06:00:00,0,0.0,51.6,-0.2,2022-01-02 12:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-02 18:00:00,0 days 08:00:00,0,0.0,51.6,-0.2,2022-01-03 02:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-02 18:00:00,0 days 12:00:00,0,0.0,51.6,-0.2,2022-01-03 06:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-02 18:00:00,0 days 11:00:00,0,0.0,51.6,-0.2,2022-01-03 05:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-02 18:00:00,0 days 10:00:00,0,0.0,51.6,-0.2,2022-01-03 04:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-02 18:00:00,0 days 09:00:00,0,0.0,51.6,-0.2,2022-01-03 03:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-02 18:00:00,0 days 07:00:00,0,0.0,51.6,-0.2,2022-01-03 01:00:00,8.6426735e-07,51.6,-0.2,51.5074,-0.1278
2022-01-02 18:00:00,0 days 03:00:00,0,0.0,51.6,-0.2,2022-01-02 21:00:00,9.536743e-07,51.6,-0.2,51.5074,-0.1278
2022-01-02 18:00:00,0 days 05:00:00,0,0.0,51.6,-0.2,2022-01-02 23:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-02 18:00:00,0 days 01:00:00,0,0.0,51.6,-0.2,2022-01-02 19:00:00,7.717684e-05,51.6,-0.2,51.5074,-0.1278
2022-01-02 18:00:00,0 days 02:00:00,0,0.0,51.6,-0.2,2022-01-02 20:00:00,5.1464885e-06,51.6,-0.2,51.5074,-0.1278
2022-01-02 18:00:00,0 days 06:00:00,0,0.0,51.6,-0.2,2022-01-03 00:00:00,3.233552e-06,51.6,-0.2,51.5074,-0.1278
2022-01-02 18:00:00,0 days 04:00:00,0,0.0,51.6,-0.2,2022-01-02 22:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-03 06:00:00,0 days 12:00:00,0,0.0,51.6,-0.2,2022-01-03 18:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-03 06:00:00,0 days 11:00:00,0,0.0,51.6,-0.2,2022-01-03 17:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-03 06:00:00,0 days 10:00:00,0,0.0,51.6,-0.2,2022-01-03 16:00:00,0.0,51.6,-0.2,51.5074,-0.1278
